PATH_LIST	PARAMETERS	DIRECTION	BENIGN_SC	PATHOGENIC_SC	INTERSECTION	UNION	MINIMUM	ONE_OVERLAP	RANK_BENIGN_SC	RANK_ONE_OVERLAP	AVG_RANKED_SCORES
MorbidMap_hg19.BED	4_B	LOSS	2827418	18829385	31102	21625701	2827418	0.9889998578208103	0.01899204971475713	0.9702213320359403	0.4946066908753487
MorbidMap_hg19.BED	4_B_USLB	LOSS	3308885	18829385	32602	22105668	3308885	0.9901471341554633	0.024750971748643512	0.9733271428951205	0.499039057321882
MorbidMap_hg19.BED	5_ALL	LOSS	9229131	18829385	674090	27384426	9229131	0.9269606206694867	0.09556420533563438	0.80227388065046	0.4489190429930472
MorbidMap_hg19.BED	5_B	LOSS	1991990	18829385	0	20821375	1991990	1.0	0.008999330137038127	1.0	0.5044996650685191
MorbidMap_hg19.BED	5_B_USLB	LOSS	2805610	18829385	1500	21633495	2805610	0.9994653569099055	0.01873119991255886	0.9985526587929633	0.5086419293527611
MorbidMap_hg19.BED	6_ALL	LOSS	7032214	18829385	509425	25352174	7032214	0.927558376352028	0.06928644649043923	0.8038920750068659	0.43658926074865256
MorbidMap_hg19.BED	6_B	LOSS	1570485	18829385	0	20399870	1570485	1.0	0.003957625447218721	1.0	0.5019788127236093
MorbidMap_hg19.BED	6_B_USLB	LOSS	2029983	18829385	1500	20857868	2029983	0.9992610775558219	0.009453771926056785	0.9979996507537877	0.5037267113399222
MorbidMap_hg19.BED	7_ALL	LOSS	5384072	18829385	272656	23940801	5384072	0.9493587752912666	0.04957269398243022	0.8629082977902198	0.45624049588632504
MorbidMap_hg19.BED	7_B	LOSS	1335959	18829385	0	20165344	1335959	1.0	0.0011524135657829458	1.0	0.5005762067828915
MorbidMap_hg19.BED	7_B_USLB	LOSS	1789950	18829385	1500	20617835	1789950	0.9991619877650214	0.006582689728190989	0.9977314031320016	0.5021570464300963
MorbidMap_hg19.BED	8_ALL	LOSS	4511495	18829385	133739	23207141	4511495	0.9703559463104803	0.03913562786665805	0.9197500889034874	0.4794428583850727
MorbidMap_hg19.BED	8_B	LOSS	1335959	18829385	0	20165344	1335959	1.0	0.0011524135657829458	1.0	0.5005762067828915
MorbidMap_hg19.BED	8_B_USLB	LOSS	1337459	18829385	1500	20165344	1337459	0.998878470293295	0.0011703553625225555	0.996963888265828	0.4990671218141753
MorbidMap_hg19.BED	9_ALL	LOSS	3559072	18829385	50920	22337537	3559072	0.9856928997221748	0.02774350794923864	0.9612690107308004	0.4945062593400195
MorbidMap_hg19.BED	9_B	LOSS	1239613	18829385	0	20068998	1239613	1.0	0.0	1.0	0.5
MorbidMap_hg19.BED	9_B_USLB	LOSS	1245856	18829385	0	20075241	1245856	1.0	7.467375803025483e-05	1.0	0.5000373368790151
Primary_CNVs_hg19.BED	10_ALL	GAIN	30636177	47081806	3662509	74055474	30636177	0.8804515001986051	0.19452409323183945	0.8043716966981256	0.49944789496498254
Primary_CNVs_hg19.BED	10_B	GAIN	2605055	47081806	158809	49528052	2605055	0.9390381393099186	0.0	0.9054889046472477	0.45274445232362387
Primary_CNVs_hg19.BED	10_B_USLB	GAIN	25121845	47081806	158809	72044842	25121845	0.9936784499705336	0.1562569688520406	0.9997949740733585	0.5780259714626995
Primary_CNVs_hg19.BED	1_ALL	GAIN	146706084	47081806	27570923	166216967	47081806	0.4144038782199646	1.0	0.0	0.5
Primary_CNVs_hg19.BED	1_B	GAIN	46150847	47081806	7067319	86165334	46150847	0.8468648040197398	0.30218932024420175	0.7464029687874906	0.5242961445158462
Primary_CNVs_hg19.BED	1_B_USLB	GAIN	65102386	47081806	12423731	99760461	47081806	0.7361245870644809	0.43370495987228513	0.555271650861567	0.4944883053669261
Primary_CNVs_hg19.BED	2_ALL	GAIN	87175633	47081806	15916450	118340989	47081806	0.6619405381348371	0.5868839284971379	0.42723420041361865	0.5070590644553783
Primary_CNVs_hg19.BED	2_B	GAIN	9970787	47081806	1265507	55787086	9970787	0.8730785242930172	0.051115054841142045	0.7916463595025119	0.421380707171827
Primary_CNVs_hg19.BED	2_B_USLB	GAIN	40556187	47081806	5165048	82472945	40556187	0.8726446349603822	0.26336475362712364	0.7908974911847441	0.5271311224059338
Primary_CNVs_hg19.BED	3_ALL	GAIN	64514273	47081806	11997651	99598428	47081806	0.7451743673554069	0.4296237051853391	0.5708910570854464	0.5002573811353928
Primary_CNVs_hg19.BED	3_B	GAIN	7230543	47081806	959299	53353050	7230543	0.8673268383854436	0.032098924151332746	0.7817192766591158	0.40690910040522427
